Id,WnvPresent
1,6.63979662932e-05
2,6.63979662932e-05
3,6.63979662932e-05
4,6.63979662932e-05
5,6.63979662932e-05
6,6.63979662932e-05
7,6.63979662932e-05
8,6.63979662932e-05
9,5.76981256017e-05
10,5.76981256017e-05
11,5.76981256017e-05
12,5.76981256017e-05
13,5.76981256017e-05
14,5.76981256017e-05
15,5.76981256017e-05
16,5.76981256017e-05
17,6.80520242895e-05
18,6.80520242895e-05
19,6.80520242895e-05
20,6.80520242895e-05
21,6.80520242895e-05
22,6.80520242895e-05
23,6.80520242895e-05
24,6.80520242895e-05
25,2.77481049125e-05
26,2.77481049125e-05
27,2.77481049125e-05
28,2.77481049125e-05
29,2.77481049125e-05
30,2.77481049125e-05
31,2.77481049125e-05
32,2.77481049125e-05
33,2.68433923338e-05
34,2.68433923338e-05
35,2.68433923338e-05
36,2.68433923338e-05
37,2.68433923338e-05
38,2.68433923338e-05
39,2.68433923338e-05
40,2.68433923338e-05
41,2.84316702164e-05
42,2.84316702164e-05
43,2.84316702164e-05
44,2.84316702164e-05
45,2.84316702164e-05
46,2.84316702164e-05
47,2.84316702164e-05
48,2.84316702164e-05
49,2.66377774096e-05
50,2.66377774096e-05
51,2.66377774096e-05
52,2.66377774096e-05
53,2.66377774096e-05
54,2.66377774096e-05
55,2.66377774096e-05
56,2.66377774096e-05
57,3.64313964383e-05
58,3.64313964383e-05
59,3.64313964383e-05
60,3.64313964383e-05
61,3.64313964383e-05
62,3.64313964383e-05
63,3.64313964383e-05
64,3.64313964383e-05
65,1.86981760635e-05
66,1.86981760635e-05
67,1.86981760635e-05
68,1.86981760635e-05
69,1.86981760635e-05
70,1.86981760635e-05
71,1.86981760635e-05
72,1.86981760635e-05
73,3.59965015377e-05
74,3.59965015377e-05
75,3.59965015377e-05
76,3.59965015377e-05
77,3.59965015377e-05
78,3.59965015377e-05
79,3.59965015377e-05
80,3.59965015377e-05
81,2.74210196949e-05
82,2.74210196949e-05
83,2.74210196949e-05
84,2.74210196949e-05
85,2.74210196949e-05
86,2.74210196949e-05
87,2.74210196949e-05
88,2.74210196949e-05
89,3.66784151993e-05
90,3.66784151993e-05
91,3.66784151993e-05
92,3.66784151993e-05
93,3.66784151993e-05
94,3.66784151993e-05
95,3.66784151993e-05
96,3.66784151993e-05
97,3.91766552639e-05
98,3.91766552639e-05
99,3.91766552639e-05
100,3.91766552639e-05
101,3.91766552639e-05
102,3.91766552639e-05
103,3.91766552639e-05
104,3.91766552639e-05
105,1.69296781678e-05
106,1.69296781678e-05
107,1.69296781678e-05
108,1.69296781678e-05
109,1.69296781678e-05
110,1.69296781678e-05
111,1.69296781678e-05
112,1.69296781678e-05
113,6.95748967701e-05
114,6.95748967701e-05
115,6.95748967701e-05
116,6.95748967701e-05
117,6.95748967701e-05
118,6.95748967701e-05
119,6.95748967701e-05
120,6.95748967701e-05
121,2.3029930162e-05
122,2.3029930162e-05
123,2.3029930162e-05
124,2.3029930162e-05
125,2.3029930162e-05
126,2.3029930162e-05
127,2.3029930162e-05
128,2.3029930162e-05
129,5.90345007367e-05
130,5.90345007367e-05
131,5.90345007367e-05
132,5.90345007367e-05
133,5.90345007367e-05
134,5.90345007367e-05
135,5.90345007367e-05
136,5.90345007367e-05
137,3.18728998536e-05
138,3.18728998536e-05
139,3.18728998536e-05
140,3.18728998536e-05
141,3.18728998536e-05
142,3.18728998536e-05
143,3.18728998536e-05
144,3.18728998536e-05
145,7.06469509169e-05
146,7.06469509169e-05
147,7.06469509169e-05
148,7.06469509169e-05
149,7.06469509169e-05
150,7.06469509169e-05
151,7.06469509169e-05
152,7.06469509169e-05
153,6.20335122221e-05
154,6.20335122221e-05
155,6.20335122221e-05
156,6.20335122221e-05
157,6.20335122221e-05
158,6.20335122221e-05
159,6.20335122221e-05
160,6.20335122221e-05
161,7.50006947783e-05
162,7.50006947783e-05
163,7.50006947783e-05
164,7.50006947783e-05
165,7.50006947783e-05
166,7.50006947783e-05
167,7.50006947783e-05
168,7.50006947783e-05
169,3.52734714397e-05
170,3.52734714397e-05
171,3.52734714397e-05
172,3.52734714397e-05
173,3.52734714397e-05
174,3.52734714397e-05
175,3.52734714397e-05
176,3.52734714397e-05
177,5.13997474627e-05
178,5.13997474627e-05
179,5.13997474627e-05
180,5.13997474627e-05
181,5.13997474627e-05
182,5.13997474627e-05
183,5.13997474627e-05
184,5.13997474627e-05
185,2.72638390015e-05
186,2.72638390015e-05
187,2.72638390015e-05
188,2.72638390015e-05
189,2.72638390015e-05
190,2.72638390015e-05
191,2.72638390015e-05
192,2.72638390015e-05
193,4.5178730943e-05
194,4.5178730943e-05
195,4.5178730943e-05
196,4.5178730943e-05
197,4.5178730943e-05
198,4.5178730943e-05
199,4.5178730943e-05
200,4.5178730943e-05
201,3.89584820368e-05
202,3.89584820368e-05
203,3.89584820368e-05
204,3.89584820368e-05
205,3.89584820368e-05
206,3.89584820368e-05
207,3.89584820368e-05
208,3.89584820368e-05
209,3.23052299791e-05
210,3.23052299791e-05
211,3.23052299791e-05
212,3.23052299791e-05
213,3.23052299791e-05
214,3.23052299791e-05
215,3.23052299791e-05
216,3.23052299791e-05
217,3.1332961953e-05
218,3.1332961953e-05
219,3.1332961953e-05
220,3.1332961953e-05
221,3.1332961953e-05
222,3.1332961953e-05
223,3.1332961953e-05
224,3.1332961953e-05
225,2.16822991206e-05
226,2.16822991206e-05
227,2.16822991206e-05
228,2.16822991206e-05
229,2.16822991206e-05
230,2.16822991206e-05
231,2.16822991206e-05
232,2.16822991206e-05
233,2.55124432442e-05
234,2.55124432442e-05
235,2.55124432442e-05
236,2.55124432442e-05
237,2.55124432442e-05
238,2.55124432442e-05
239,2.55124432442e-05
240,2.55124432442e-05
241,5.60678563488e-05
242,5.60678563488e-05
243,5.60678563488e-05
244,5.60678563488e-05
245,5.60678563488e-05
246,5.60678563488e-05
247,5.60678563488e-05
248,5.60678563488e-05
249,6.39852733002e-05
250,6.39852733002e-05
251,6.39852733002e-05
252,6.39852733002e-05
253,6.39852733002e-05
254,6.39852733002e-05
255,6.39852733002e-05
256,6.39852733002e-05
257,2.16105836444e-05
258,2.16105836444e-05
259,2.16105836444e-05
260,2.16105836444e-05
261,2.16105836444e-05
262,2.16105836444e-05
263,2.16105836444e-05
264,2.16105836444e-05
265,3.58168326784e-05
266,3.58168326784e-05
267,3.58168326784e-05
268,3.58168326784e-05
269,3.58168326784e-05
270,3.58168326784e-05
271,3.58168326784e-05
272,3.58168326784e-05
273,3.74647024728e-05
274,3.74647024728e-05
275,3.74647024728e-05
276,3.74647024728e-05
277,3.74647024728e-05
278,3.74647024728e-05
279,3.74647024728e-05
280,3.74647024728e-05
281,2.0317522285e-05
282,2.0317522285e-05
283,2.0317522285e-05
284,2.0317522285e-05
285,2.0317522285e-05
286,2.0317522285e-05
287,2.0317522285e-05
288,2.0317522285e-05
289,2.1118503355e-05
290,2.1118503355e-05
291,2.1118503355e-05
292,2.1118503355e-05
293,2.1118503355e-05
294,2.1118503355e-05
295,2.1118503355e-05
296,2.1118503355e-05
297,5.96056124778e-05
298,5.96056124778e-05
299,5.96056124778e-05
300,5.96056124778e-05
301,5.96056124778e-05
302,5.96056124778e-05
303,5.96056124778e-05
304,5.96056124778e-05
305,4.65744924441e-05
306,4.65744924441e-05
307,4.65744924441e-05
308,4.65744924441e-05
309,4.65744924441e-05
310,4.65744924441e-05
311,4.65744924441e-05
312,4.65744924441e-05
313,5.5698921642e-05
314,5.5698921642e-05
315,5.5698921642e-05
316,5.5698921642e-05
317,5.5698921642e-05
318,5.5698921642e-05
319,5.5698921642e-05
320,5.5698921642e-05
321,3.07175141643e-05
322,3.07175141643e-05
323,3.07175141643e-05
324,3.07175141643e-05
325,3.07175141643e-05
326,3.07175141643e-05
327,3.07175141643e-05
328,3.07175141643e-05
329,2.44313177973e-05
330,2.44313177973e-05
331,2.44313177973e-05
332,2.44313177973e-05
333,2.44313177973e-05
334,2.44313177973e-05
335,2.44313177973e-05
336,2.44313177973e-05
337,4.5968034101e-05
338,4.5968034101e-05
339,4.5968034101e-05
340,4.5968034101e-05
341,4.5968034101e-05
342,4.5968034101e-05
343,4.5968034101e-05
344,4.5968034101e-05
345,3.11361036438e-05
346,3.11361036438e-05
347,3.11361036438e-05
348,3.11361036438e-05
349,3.11361036438e-05
350,3.11361036438e-05
351,3.11361036438e-05
352,3.11361036438e-05
353,4.67790669063e-05
354,4.67790669063e-05
355,4.67790669063e-05
356,4.67790669063e-05
357,4.67790669063e-05
358,4.67790669063e-05
359,4.67790669063e-05
360,4.67790669063e-05
361,5.49225223949e-05
362,5.49225223949e-05
363,5.49225223949e-05
364,5.49225223949e-05
365,5.49225223949e-05
366,5.49225223949e-05
367,5.49225223949e-05
368,5.49225223949e-05
369,7.06122009433e-05
370,7.06122009433e-05
371,7.06122009433e-05
372,7.06122009433e-05
373,7.06122009433e-05
374,7.06122009433e-05
375,7.06122009433e-05
376,7.06122009433e-05
377,6.05125169386e-05
378,6.05125169386e-05
379,6.05125169386e-05
380,6.05125169386e-05
381,6.05125169386e-05
382,6.05125169386e-05
